Data underlying the calculation of the 2009 Global Hunger Index ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Proportion of undernourished in the population (%),,,,Prevalence of underweight in children under 5 years (%),,,,Under 5 mortality rate (%),,GHI,,,,,,
Papua New Guinea,-,,-,,21.8,***,17.0,***,9.4,6.5,-,-,,,,,
Paraguay,16.0,,11.0,,2.8,,3.0,,4.1,2.9,7.6,5.6,,,,,
Peru,28.0,,15.0,,8.8,,5.0,,7.8,2.0,14.9,7.3,,,,,
Philippines,21.0,,16.0,,29.9,,20.7,,6.2,2.8,19.0,13.2,,,,,
Qatar,-,,-,,-,,-,,2.6,1.5,-,-,,,,,
Romania,3.0,***,0.0,***,5.0,,3.5,,3.2,1.5,<5,<5,,,,,
Russian Federation,-,,2.0,***,2.4,***,1.6,***,2.7,1.5,-,<5,,,,,
Rwanda,45.0,,40.0,,24.3,,18.0,,19.5,18.1,29.6,25.4,,,,,
Saudi Arabia,2.0,***,1.0,***,12.4,***,5.3,,4.4,2.5,6.3,<5,,,,,
Senegal,28.0,,26.0,,19.6,,14.5,,14.9,11.4,20.8,17.3,,,,,
Serbia and Montenegro,-,,8.0,***,-,,1.8,,-,0.8,-,<5,,,,,
Sierra Leone,45.0,,47.0,,25.4,,28.3,,29.0,26.2,33.1,33.8,,,,,
Slovak Republic,-,,5.0,***,-,,1.0,***,1.5,0.8,-,<5,,,,,
Somalia,-,,-,,-,,32.8,,20.3,14.2,-,-,,,,,
South Africa,6.0,***,5.0,***,9.3,***,10.1,,6.4,5.9,7.2,7.0,,,,,
Sri Lanka,27.0,,21.0,,33.2,***,18.1,***,3.2,2.1,21.1,13.7,,,,,
Sudan*,31.0,,21.0,,35.4,***,27.0,,12.5,10.9,26.3,19.6,,,,,
Suriname,11.0,,7.0,,12.8,***,7.0,,5.1,2.9,9.6,5.6,,,,,
Swaziland,12.0,,18.0,,11.1,***,6.1,,9.6,9.1,10.9,11.1,,,,,
Syrian Arab Republic,4.0,***,4.0,***,14.5,***,10.0,,3.7,1.7,7.4,5.2,,,,,
Tajikistan,-,,34.0,,9.8,***,14.9,,11.7,6.7,-,18.5,,,,,
Tanzania,28.0,,35.0,,25.1,,16.7,,15.7,11.6,22.9,21.1,,,,,
Thailand,29.0,,17.0,,17.2,***,7.0,,3.1,0.7,16.4,8.2,,,,,
Timor-Leste,18.0,,22.0,,-,,44.6,,18.4,9.7,-,25.4,,,,,
Togo,45.0,,37.0,,23.5,,22.3,,15.0,10.0,27.8,23.1,,,,,
Trinidad and Tobago,11.0,,10.0,,6.8,***,2.8,***,3.4,3.5,7.1,5.4,,,,,
Tunisia,1.0,***,1.0,***,9.1,,2.6,***,5.2,2.1,5.1,<5,,,,,
Turkey,1.0,***,2.0,***,8.8,***,3.5,,8.2,2.3,6.0,<5,,,,,
Turkmenistan,-,,6.0,,13.7,***,8.0,,9.9,5.0,-,6.3,,,,,
Uganda,19.0,,15.0,,19.7,,16.4,,17.5,13.0,18.7,14.8,,,,,
Ukraine,-,,2.0,***,1.4,***,0.9,***,2.5,2.4,-,<5,,,,,
Uruguay,5.0,,2.0,***,6.2,***,6.0,,2.5,1.4,<5,<5,,,,,
Uzbekistan,-,,14.0,,9.7,***,4.4,,7.4,4.1,-,7.5,,,,,
"Venezuela, RB",10.0,,12.0,,6.7,,4.4,,3.2,1.9,6.6,6.1,,,,,
Vietnam,28.0,,14.0,,40.7,,20.2,,5.6,1.5,24.8,11.9,,,,,
"Yemen, Rep.",30.0,,32.0,,49.3,***,41.6,,12.7,7.3,30.7,27.0,,,,,
Zambia,40.0,,45.0,,19.5,,15.0,,16.3,17.0,25.3,25.7,,,,,
Zimbabwe,40.0,,40.0,,8.0,,14.0,,9.5,9.0,19.2,21.0,,,,,
"Note: For coutnries with an *, data underlying the GHI are unreliable. *** indicates authors' estimates. ",,,,,,,,,,,,,,,,,
